orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,codigo_unidade_orcamentaria,codigo_item,nome_item,codigo_natureza_despesa_detalhada,nome_natureza_despesa_detalhada,valor
244,MINISTÉRIO DA EDUCAÇÃO,MEC,427,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,202110,26366,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1209,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,202110,26268,11,Contratação Temporária,33900422,AUXILIO-CRECHE,642.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,105793,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,202110,26267,11,Contratação Temporária,33900422,AUXILIO-CRECHE,618.46
244,MINISTÉRIO DA EDUCAÇÃO,MEC,94739,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,202110,26266,11,Contratação Temporária,33900422,AUXILIO-CRECHE,914.85
244,MINISTÉRIO DA EDUCAÇÃO,MEC,458,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,202110,26264,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1829.7
244,MINISTÉRIO DA EDUCAÇÃO,MEC,463,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,202110,26263,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1203.75
244,MINISTÉRIO DA EDUCAÇÃO,MEC,464,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,202110,26262,11,Contratação Temporária,33900422,AUXILIO-CRECHE,963.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,461,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,202110,26260,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2905.05
244,MINISTÉRIO DA EDUCAÇÃO,MEC,445,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,202110,26257,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3964.35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,454,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,202110,26258,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1990.2
