orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,256,COLÉGIO PEDRO II,CP II,COLÉGIO PEDRO II,CP II,202110,2,1,3,2205,11
244,MINISTÉRIO DA EDUCAÇÃO,MEC,425,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,202110,9,45,54,3716,47
244,MINISTÉRIO DA EDUCAÇÃO,MEC,423,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,202110,16,49,65,7277,45
244,MINISTÉRIO DA EDUCAÇÃO,MEC,467,FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,202110,2,49,51,3542,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,476,FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,202110,5,40,45,1957,115
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100903,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTRIAMG,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTRIAMG,202110,11,8,19,1141,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100916,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IF MT,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IF MT,202110,7,1,8,1938,70
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100904,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MATO GROSSO DO SUL",IFMS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MATO GROSSO DO SUL",IFMS,202110,4,3,7,1201,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100922,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,202110,7,14,21,2300,16
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100919,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IFC,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IFC,202110,1,1,2,1762,58
